30618165	cause|@CHEMICAL_Iron|@DISEASE_Hepatolenticular_Degeneration ;cause|@CHEMICAL_Iron|@DISEASE_Fibrosis ;cause|@CHEMICAL_Copper|@DISEASE_Fibrosis ;cause|@CHEMICAL_Copper|@DISEASE_Heart_Arrest ;associate|@CHEMICAL_Copper|@DISEASE_Hepatolenticular_Degeneration	Cardiac arrest in Wilson's disease after curative liver transplantation: a life-threatening complication of myocardial copper excess?We report the case of a 38-year-old man who presented with cardiac arrest 1 year after curative liver transplantation for Wilson's disease. Clinical work-up proofed myocardial copper and iron accumulation using mass spectrometry, which led most likely to myocardial fibrosis as visualized by cardiovascular magnetic resonance (unprecedented delayed enhancement pattern) and endomyocardial biopsy. Consequently, cardiac arrest due to ventricular fibrillation and subsequent episodes of sustained ventricular tachycardia were considered as primary cardiac manifestation of Wilson's disease. This can, as illustrated by our case, occur even late after curative liver transplantation, which is an important fact that treating physicians should be aware of during clinical follow-up of these patients.
31570646		Teaching Video NeuroImages: Slow periodic myoclonus in subacute sclerosing panencephalitis and fulminant Wilson disease.
33443665	treat|@CHEMICAL_Copper|@DISEASE_Necrosis ;associate|@DISEASE_Necrosis|@GENE_CAT ;associate|@DISEASE_Hepatolenticular_Degeneration|@GENE_CAT ;associate|@CHEMICAL_Copper|@DISEASE_Hepatolenticular_Degeneration ;stimulate|@DISEASE_Necrosis|@GENE_IL1A ;stimulate|@DISEASE_Necrosis|@GENE_TNF	Study on different pathogenic factors in different disease stages of patients with Wilson disease.OBJECTIVE: To investigate in different stages of patients with Wilson disease (WD), there are different pathogenic factors such as metal deposition, oxidative stress, and inflammatory response in the brain. METHODS: A total of 32 untreated WD patients and 10 normal controls were enrolled in the study. The neurological symptoms were evaluated using the modified Young scale. Liver function, metal metabolism, susceptibility-weighted imaging (SWI), diffusion tensor imaging (DTI), and magnetic resonance spectroscopy (MRS) examination were done. The clinical disease stages were divided into metal deposition period, fiber damage period, and neuronal necrosis period according to the imaging results. The content of 24-h urine copper, serum copper, and serum iron; and the levels of catalase (CAT), glutathione peroxidase (GSH-PX), malondialdehyde (MDA), nitric oxide (NO), nitric oxide synthase (NOS), superoxide dismutase (SOD), interleukin (IL-1), and tumor necrosis factor alpha (TNF-alpha) were detected. RESULTS: The contents of urinary copper in WD patients at neuronal necrosis stage were lower than those in patients at the metal deposition stage (P = 0.011) and fiber injury stage (P = 0.023). The contents of NOS (P = 0.039) and NO (P = 0.047) in WD patients at the stage of fiber injury were higher than those of the normal control, while GSH-PX (P = 0.025) and CAT (P = 0.041) were lower in the neuronal necrosis stage. In the stage of neuronal necrosis, the levels of IL-1 (P = 0.030) and TNF-alpha were higher than those of the normal control (P = 0.042). The neurological symptom scores in patients with fiber injury (P = 0.013) and neuron injury were higher than those with metal deposition (P = 0.026). CONCLUSION: There are different pathogenic factors in different stages of WD. At the neuronal necrosis stage, copper deposition was decreased in WD patients. In the stage of fiber injury and neuronal necrosis, there is oxidative stress injury in WD patients. In the neuronal necrosis phase, WD patients have an inflammatory response.
29340742	associate|@CHEMICAL_Copper|@DISEASE_Hepatolenticular_Degeneration ;associate|@CHEMICAL_Copper|@DISEASE_Neoplastic_Syndromes_Hereditary ;associate|@CHEMICAL_Copper|@GENE_ATP7B ;associate|@DISEASE_Hepatolenticular_Degeneration|@GENE_ATP7B	[Wilson disease].Wilson disease is a rare hereditary disorder of copper metabolism. The genetic defect is caused by various mutations in the copper-transporting enzyme ATP7B, located mainly in the liver and brain. Clinical symptoms are highly variable, with any combination of hepatic and/or neurological or psychiatric manifestations. The age of onset varies from early childhood to young adults and can even be manifested in later ages. The clinical diagnosis is based on a combination of clinical, biochemical and molecular markers. Treatment using chelating agents and zinc salts is effective when started early or even better at presymptomatic stages of the disease.
28433106	treat|@CHEMICAL_tetrathiomolybdate|@DISEASE_Hepatolenticular_Degeneration ;associate|@CHEMICAL_Copper|@DISEASE_Hepatolenticular_Degeneration	Novel perspectives on Wilson disease treatment.Wilson disease is an autosomal-recessive copper overload disorder causing hepatic and neurologic symptoms. Commonly used medical therapy shows satisfactory results with regard to hepatic disease but only limited effects in neurologically affected patients. In recent years several new therapy options have been developed, showing promising results that might improve the management of Wilson disease in the near future. Optimization of treatment regimens depending on biochemical response pattern seems worthwhile, especially in the decoppering phase of therapy. The chelator tetrathiomolybdate (TTM) is a promising therapy option, currently under clinical investigation. TTM is a fast-acting and very potent chelator and appears to be associated with early neurologic deterioration after initiation of therapy to a lower extent than the drugs currently used. Treatment with nonchelating drugs characterized by alternative modes of action is under investigation, but restricted to animal or in vitro studies to date. This includes basic research studies demonstrating proof of principle for successful cell or gene therapy in Wilson disease in order to restore sufficient biliary copper excretion, even before the onset of disease.
31992405	associate|@CHEMICAL_Copper|@DISEASE_Genetic_Diseases_Inborn ;associate|@CHEMICAL_Copper|@DISEASE_Hepatolenticular_Degeneration	Sleep disorders in Wilson disease: a systematic review and meta-analysis.STUDY OBJECTIVES: Wilson disease (WD) is an autosomal recessive inherited disorder of copper metabolism resulting in pathologic accumulation of copper in many organs and tissues. Sleep disorders are highly prevalent in patients with WD. However, both prevalence rates and severity of different sleep disorders in patients with WD vary widely. The aims of the current study were to systematically review and perform a meta-analysis of the association between WD and prevalent sleep disorders, including insomnia, rapid eye movement (REM) sleep behavior disorder (RBD), excessive daytime sleepiness (EDS), sleep-disordered breathing (SDB), restless legs syndrome (RLS), periodic limb movement in sleep (PLM), cataplexy-like episodes (CLEs) and sleep paralysis, and objective sleep characteristics. METHODS: We performed a systematic search of PubMed, EMBase, the Cochrane Library, PsycINFO and ISI Web of Science for case-control studies. A total of 7 studies with 501 participants were included. RESULTS: We found that 54.1% of patients with WD experience sleep disorders and up to 7.65-fold higher odds compared to control patients. Specifically, patients with WD had higher rates of RBD, insomnia, and EDS based on self-reported questionnaires. No differences were observed in terms of RLS, PLM, or SDB between patients with WD and control patients. Furthermore, objective sleep disruptions based on polysomnographic studies included prolonged sleep onset latency and REM sleep onset latency, reduced total sleep time and sleep efficiency, higher percentage of stage N1 sleep and lower percentage of stage N2 sleep were observed in patients with WD. CONCLUSIONS: Our study indicates that sleep disorders are frequent in patients with WD. Future studies should examine the longitudinal association of WD with sleep disturbances.
30426382	associate|@DISEASE_Hepatolenticular_Degeneration|@VARIANT_p.C271*_ATP7B_human ;associate|@DISEASE_Chemical_and_Drug_Induced_Liver_Injury|@GENE_ATP7B ;positive_correlation|@VARIANT_p.C271*_ATP7B_human|@DISEASE_Hepatolenticular_Degeneration ;association|@VARIANT_p.C271X_ATP7B_human|@DISEASE_Hepatolenticular_Degeneration ;associate|@DISEASE_Hepatolenticular_Degeneration|@GENE_ATP7B ;associate|@DISEASE_Hepatolenticular_Degeneration|@GENE_ATP7B	Molecular genetic diagnosis of Wilson disease by ARMS-PCR in a Pakistani family.Wilson disease is a rare autosomal recessive disorder caused by mutations in the ATP7B gene causing hepatic and neurological damage due to copper accumulation. Early diagnosis and treatment could lead to improved survival of patients. Patients are best treated at pre-symptomatic stages but early diagnosis of Wilson disease is challenging owing to complex diagnosis. Evidence based genetic counseling requires characterization of underlying mutations in Wilson disease families. The aim was to characterize the causative mutation(s) in a Pakistani Wilson disease family by custom developed ARMS-PCR assay. A proband (19 years old boy) having Wilson disease with evidence of K-F ring, severe neurological and psychiatric manifestations and clinical findings supported by biochemical abnormalities was followed. Following screening for 12 putative mutations in ATP7B, we identified a homozygous mutation (p.Cys271*, c.813C > A) in proband by T-ARMS-PCR assay and validated by Sanger DNA sequencing. Furthermore, on screening of his family members, a younger sister (aged 9 years) was found to have the same homozygous mutation even though she was clinically asymptomatic except for a light K-F ring. Parents were heterozygous for this mutation and an elder brother was homozygous normal. Molecular diagnosis by PCR based assays (M-ARMS-PCR and T-ARMS-PCR) is cost effective, reliable, and efficient for preliminary screening of mutations in the ATP7B gene in developing countries like Pakistan, which can be successfully applied to Wilson disease families for genetic testing and follow-up evidence based genetic counseling.
33275388		A New Onset of Mania in a 49-Year-Old Man: An Interesting Case of Wilson Disease.Wilson disease is a rare copper metabolism disorder that generally occurs in individuals between 5 and 35 years of age. Common clinical manifestations are hepatic, neurological, and psychiatric symptoms. Roughly, 4% of all cases occur in patients over 40 years of age and, among these patients, the presenting symptoms are generally neuropsychiatric, which often leads to misdiagnosis as a primary psychiatric disorder and a delay in correct diagnosis. This report presents the case of a 49-year-old man with no formal psychiatric history who presented with a new onset of mania. We outline the distinctive characteristics that appeared inconsistent with a primary psychiatric disorder and pointed toward secondary mania. Despite low serum ceruloplasmin, the absence of brain abnormalities more typical of Wilson disease on magnetic resonance imaging led a neurology consultant to advise that the diagnosis was likely primarily psychiatric. Due to atypical components of the patient's presentation, such as his late age of onset for bipolar disorder and acute cognitive decline, the psychiatric team advocated for further diagnostic workup. The subsequent evaluation confirmed Wilson disease based on specific ophthalmological and hepatic abnormalities and further copper studies. In addition, once diagnosed, the management of Wilson disease involves distinct clinical considerations given patients' presumed vulnerability to neurological side effects. This case illustrates the role psychiatric providers play in advocating for diagnostic workup in patients with atypical presentations of primary psychiatric disorders and the distinct diagnostic and treatment considerations associated with Wilson disease.
29274796		[Compliance with treatment in Wilson's disease: On the interest of a multidisciplinary closer follow-up].BACKGROUND: Compliance with treatment is very important for patients who suffer from Wilson's disease, a rare genetic disorder. They can benefit a long-life and effective treatment. The purpose of our study is to identify the level of compliance in Wilson's disease patients and features associated with compliance as well. METHODS: This is a prospective study carried out in the National Reference Center for Wilson Disease (based in Paris and Lyon) over a 8 months period. Patients were evaluated on the first (M0) and last month (M8) with a questionnaire evaluating the number of missed treatment doses, a self-questionnaire collecting the reasons for non-compliance, and analogic scales analyzing the doctor-patient relationship and their behavior towards the treatment. The severity of depression symptoms was investigated by the Beck Depression Inventory (BDI). A detailed phone call interview was conducted by a psychologist every two months to evaluate their compliance and feeling. RESULTS: Thirty-nine patients were included. The mean age of patients was 34 years (+-9.9). At M0, 84.6% had a poor compliance with treatment. They were diagnosed more recently (P=0.049) with a higher proportion involving neurological disorders (P=0.007). Age, the type of treatment and the quality of the doctor-patient relationship were not associated with the outcome; 38.5% suffered from depressive symptoms. At M8, 56.8% of patients were poor compliants and 21.6% presented depressive symptoms. CONCLUSION: Wilsons's disease patients have important problems with compliance, without necessary being depressed. A close follow-up may help them become compliant, particularly those with neurological symptoms.
31277686		Social and demographic characteristics of a Polish cohort with Wilson disease and the impact of treatment persistence.BACKGROUND: Wilson disease (WD) is a genetic disorder involving impaired copper metabolism, which presents with hepatic, neurological, and/or psychiatric manifestations. WD requires lifelong pharmacotherapy and treatment persistence may be problematic. We studied social characteristics, education, and work-related activities and how they are affected by WD symptoms and treatment persistence. METHODS: In a cross-sectional study, data on demographic characteristics, achieved education level, household and marital status, plus a primary source of income were collected from 202 Polish subjects (mean +- standard deviation age of 36.4 +- 9.9 years at assessment) with WD. RESULTS: Overall, WD appeared to have a negative impact on achieved level of education and influenced the ability to work as compared with the general Polish population. Patients with neurological manifestations less often achieved upper-secondary/post-secondary or higher education compared with those with hepatic manifestations (65.5% vs. 83.6%; p = 0.003). They also significantly less frequently stated salary (19.6% vs. 56.2%; p < 0.0001) as the primary income and more often were on disability pension (53.3% vs. 26.0%; p = 0.0003). The percentage of married patients with WD appeared lower than in the general population (47.0% vs. 54.6%), although the difference was not significant (p = 0.2). The 27.6% of patients who were non-persistent with WD treatment less frequently achieved upper/post-secondary or higher education compared with persistent patients (66.0% vs. 76.3%; NS) and their primary source of outcome was significantly less often a salary (18.9% vs. 40.3%; p = 0.001). CONCLUSIONS: Neurological manifestations had an adverse effect on education level and work ability. Treatment non-persistence had a further negative impact regardless of the disease form. Patients with WD should receive appropriate treatment, with the need for persistence emphasized and monitored to avoid a detrimental effect on their lives.
