Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Subject Qualifier	Subject Extension	Object Extension	Count
31113589	MAXO:0001175	liver transplantation	TREATS	HP:0006554	Acute Liver Failure	MONDO:0010200				2
28433103	MAXO:0001175	liver transplantation	TREATS	HP:0006554	Acute Liver Failure	MONDO:0010200				2
31421978	MAXO:0000376	liver biopsy	TREATS	HP:0001394	Cirrhosis	MONDO:0010200				2
28433112	MAXO:0000376	liver biopsy	TREATS	HP:0001394	Cirrhosis	MONDO:0010200				2
31421978	MAXO:0000376	liver biopsy	TREATS	HP:0006554	Acute Liver Failure	MONDO:0010200				2
28433112	MAXO:0000376	liver biopsy	TREATS	HP:0006554	Acute Liver Failure	MONDO:0010200				2
28987261	Diagnosis		TREATS	Wilson Disease						1
28987261	MAXO:0000376	liver biopsy	TREATS	Wilson Disease						1
28987261	MAXO:0000533	Molecular genetic testing	TREATS	Wilson Disease						1
28987261	Medical therapy		TREATS	Wilson Disease						1
28987261	Liver transplant		TREATS	Acute liver failure		Wilson Disease				1
28987261	Liver transplant		TREATS	Advanced liver disease		MONDO:0010200				1
28987261	Treatment monitoring		TREATS	Wilson Disease						1
28987261	Clinical evaluation		TREATS	Wilson Disease						1
28987261	Liver tests		TREATS	Wilson Disease						1
28987261	Blood counts		TREATS	Wilson Disease						1
29759592	CDG screening		TREATS	early and severe liver fibrosis		MONDO:0014789		CDG screening		1
29759592	CDG screening		TREATS	HP:0001394	Cirrhosis	MONDO:0014789				1
29759592	CDG screening		TREATS	neurological symptoms		MONDO:0014789				1
29759592	CDG screening		TREATS	isolated and late severe liver involvement		CCDC115-CDG		CDG screening		1
29759592	CDG screening		TREATS	HP:0003124	hypercholesterolemia	MONDO:0014789				1
29759592	CDG screening		TREATS	elevated alkaline phosphatases		CCDC115-CDG		CDG screening	elevated alkaline phosphatases	1
29759592	CDG screening		TREATS	defects in copper metabolism		CCDC115-CDG		CDG screening		1
29759592	glycosylation study		TREATS	liver fibrosis		CCDC115-CDG		glycosylation study	early and severe	1
29759592	glycosylation study		TREATS	HP:0001394	Cirrhosis	MONDO:0014789				1
29759592	glycosylation study		TREATS	neurological symptoms		MONDO:0014789		glycosylation study		1
