PMID	Title	Abstract
30618165	Cardiac arrest in Wilson's disease after curative liver transplantation: a life-threatening complication of myocardial copper excess?	We report the case of a 38-year-old man who presented with cardiac arrest 1 year after curative liver transplantation for Wilson's disease. Clinical work-up proofed myocardial copper and iron accumulation using mass spectrometry, which led most likely to myocardial fibrosis as visualized by cardiovascular magnetic resonance (unprecedented delayed enhancement pattern) and endomyocardial biopsy. Consequently, cardiac arrest due to ventricular fibrillation and subsequent episodes of sustained ventricular tachycardia were considered as primary cardiac manifestation of Wilson's disease. This can, as illustrated by our case, occur even late after curative liver transplantation, which is an important fact that treating physicians should be aware of during clinical follow-up of these patients.
20453399	Current state of Wilson disease patients in central Japan.	OBJECTIVE: This study evaluated the current state of patients with Wilson disease in central Japan. PATIENTS AND METHODS: Between 1999 and 2007, 30 patients were diagnosed as having Wilson disease with an International Diagnostic Score of 4 or more. The phenotypes, genotypes and post-diagnostic courses of these patients were analyzed. RESULTS: Twenty-six patients had ATP7B mutations responsible for Wilson disease. Four patients had a single mutant chromosome. There were 2 major mutations of 2333 G>T and 2871 delC (40%), and 6 novel mutations (13%) in our patients. The first clinical manifestation was the hepatic form in 22, neurological form in 5, and hemolysis in 3 patients. The hepatic form was diagnosed around the age of 13 years, followed by neurological complication with a time lag of 9 years. Thus, some patients, especially patients with the neurological form, did not undergo early diagnostic tests including ATP7B analysis. During the post-diagnosis period, 3 patients were hospitalized for recurrent liver disease, and 2 patients committed suicide. One female patient died from acute hepatic failure associated with encephalopathy after fertilization therapy, while 2 male patients recovered from encephalopathy-free, prolonged hepatic failure after noncompliance with drug therapy. The King's Scores for liver transplantation were below the cut-off in both cases. CONCLUSION: To minimize delayed diagnosis, ceruloplasmin determination and ATP7B analysis may be recommended to patients showing hepatic damage of unknown etiology. At gene diagnosis, appropriate management of patients including compliance education and emotional care to prevent suicide might be important.
23289267	[Wilson disease as the significant risk factor of surgical treatment--clinical case report].	Wilson Disease (W ) is a rare inborn disorder of cooper metabolism. In approximately 40% of cases signs and symptoms of abnormal liver functions are observed due to hepatic inflammation, cirrhosis or insufficiency. The mainstay treatment is the conservative treatment with zinc (eg Zincteral) or penicillamine. The Authors present a patient with WD who underwent surgery because of an advanced rectal prolapse (laparotomy, rectal mobilization, rectopexy, the partial sigmoid colon resection with the primary anastomosis). The postoperative course was complicated by anastomotic leakage and a subsequent diffuse peritonitis. The patient required relaparotomy and three weeks treatment in the intensive therapy unit. The Authors consider the WD as a significant risk factor for surgical patients. Surgical treatment of patients with WD should be least invasive.
28433106	Novel perspectives on Wilson disease treatment.	Wilson disease is an autosomal-recessive copper overload disorder causing hepatic and neurologic symptoms. Commonly used medical therapy shows satisfactory results with regard to hepatic disease but only limited effects in neurologically affected patients. In recent years several new therapy options have been developed, showing promising results that might improve the management of Wilson disease in the near future. Optimization of treatment regimens depending on biochemical response pattern seems worthwhile, especially in the decoppering phase of therapy. The chelator tetrathiomolybdate (TTM) is a promising therapy option, currently under clinical investigation. TTM is a fast-acting and very potent chelator and appears to be associated with early neurologic deterioration after initiation of therapy to a lower extent than the drugs currently used. Treatment with nonchelating drugs characterized by alternative modes of action is under investigation, but restricted to animal or in vitro studies to date. This includes basic research studies demonstrating proof of principle for successful cell or gene therapy in Wilson disease in order to restore sufficient biliary copper excretion, even before the onset of disease.
23996412	Plasma exchange for hemolytic crisis and acute liver failure in Wilson disease: correspondence.	
26601640	Combined zinc sulphate and NSAID-induced gastric ulcer perforation in Wilson disease: A case report.	
9311362	Penicillamine-related neurologic syndrome in a child affected by Wilson disease with hepatic presentation.	OBJECTIVES: To describe a case of penicillamine-related neurologic symptoms in a 9-year-old boy affected by asymptomatic Wilson disease with hepatic presentation; to compare this case with similar cases in adults; and to discuss the role of zinc therapy as an alternative treatment for patients who have an adverse reaction to penicillamine therapy. SETTING: Referral hospital. MAIN OUTCOME MEASURE: The occurrence of a neurologic syndrome that severely impaired a child's usual daily activities and his health-related quality of life after the institution of penicillamine therapy. RESULTS: Initial penicillamine therapy was chronologically related to the development of progressive neurologic deterioration in the absence of other causes of neurologic syndrome. The discontinuation of penicillamine therapy and the initiation of zinc therapy were followed by a prompt disappearance of neurologic symptoms and a return to neurologic baseline status. CONCLUSIONS: Penicillamine therapy, even in children affected by Wilson disease with hepatic presentation alone and without neurologic disease at the beginning of treatment, may trigger neurologic symptoms. Zinc therapy may be a satisfactory alternative.
22541062	Other genetic liver diseases in children.	Wilson disease is rare but proteiform, and should be suspected in any child with liver disease and older than 3 years of age. The treatment is very efficient, and must be taken life-long. Fifteen percent of patients with alpha-1-antitrypsin deficiency develop a neonatal jaundice, and 3% a cirrhosis in childhood. There is no specific treatment except liver transplantation. Five percent of cystic fibrosis patients develop a cirrhosis, with a very slow progression. Milder abnormalities are frequent, as well as biliary stones. Liver disease in ciliopathies may be a congenital hepatic fibrosis, with risks of portal hypertension and cholangitis, or a more variable biliary disease. Gilbert disease is frequent and benign. Crigler-Najjar syndrome is rare, severe, and may be an indication for liver or liver-cell transplantation.
29274796	[Compliance with treatment in Wilson's disease: On the interest of a multidisciplinary closer follow-up].	BACKGROUND: Compliance with treatment is very important for patients who suffer from Wilson's disease, a rare genetic disorder. They can benefit a long-life and effective treatment. The purpose of our study is to identify the level of compliance in Wilson's disease patients and features associated with compliance as well. METHODS: This is a prospective study carried out in the National Reference Center for Wilson Disease (based in Paris and Lyon) over a 8 months period. Patients were evaluated on the first (M0) and last month (M8) with a questionnaire evaluating the number of missed treatment doses, a self-questionnaire collecting the reasons for non-compliance, and analogic scales analyzing the doctor-patient relationship and their behavior towards the treatment. The severity of depression symptoms was investigated by the Beck Depression Inventory (BDI). A detailed phone call interview was conducted by a psychologist every two months to evaluate their compliance and feeling. RESULTS: Thirty-nine patients were included. The mean age of patients was 34 years (+-9.9). At M0, 84.6% had a poor compliance with treatment. They were diagnosed more recently (P=0.049) with a higher proportion involving neurological disorders (P=0.007). Age, the type of treatment and the quality of the doctor-patient relationship were not associated with the outcome; 38.5% suffered from depressive symptoms. At M8, 56.8% of patients were poor compliants and 21.6% presented depressive symptoms. CONCLUSION: Wilsons's disease patients have important problems with compliance, without necessary being depressed. A close follow-up may help them become compliant, particularly those with neurological symptoms.
21757830	Excess copper chelating therapy for Wilson disease induces anemia and liver dysfunction.	A 37-year-old man was diagnosed with Wilson disease at the age of 14. His first manifestations were neurological. He was treated with trientine for more than 10 years and suffered from anemia and liver dysfunction. Wilson disease is a genetic disorder characterized by accumulation of copper in the body. Excess copper is toxic, but copper is an essential trace element. Copper-binding ceruloplasmin is important for iron metabolism. Excess copper chelating treatment-induced anemia and iron deposition in the liver was suspected. Proper monitoring of copper status is important for the management of Wilson disease.
