Disease	Unique PubMed IDs	Triplets
polycystic_kidney_disease	456	1862
ciliary_dyskinesia	77	308
loeys_dietz_syndrome	34	140
donnai-barrow_syndrome	3	20
camurati_engelmann	11	32
sickle_cell	974	3924
celiac_disease	1421	5617
canavan_disease	20	78
milroy_disease	2	5
chediak_higashi_syndrome	42	156
propionic_acidemia	40	171
lymphatic_malformation	95	418
hypochondroplasia	13	48
cystic_fibrosis	56	224
marfan_syndrome	126	506
huntington_disease	101	467
apert_syndrome	41	193
citrullinemia	42	192
brugada_syndrome	24	74
wilson_disease	215	895
achondroplasia	88	416
lesch_nyhan_syndrome	33	124
noonan_syndrome	106	392
alkaptonuria	27	78
williams_syndrome	58	230
stickler_syndrome	24	94
