Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
30691927			restitution therapies	[]	treats			somatic growth failure	[('HP:0001510', 'Growth failure')]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
30691927	maxo:0001298	therapies		[]	treats	hp:0000253	progressive microcephaly		[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		ganglioside restitution		1
30691927			ganglioside restitution therapies	[]	treats	hp:0001263	global developmental delay		[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		ganglioside restitution therapies		1
30691927			restitution therapies	[]	treats			visual inattentiveness	[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
30691927			ganglioside restitution therapies	[]	treats			dyskinetic movements	[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		ganglioside		1
30691927			restitution therapies	[]	treats			infantile-onset epileptic encephalopathy	[('HP:0001298', 'Encephalopathy'), ('HP:0003674', 'Onset')]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
30691927			restitution therapies	[]	treats	hp:0000365	hearing loss		[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
30691927			restitution therapies	[]	treats			incessant irritability	[('HP:0000737', 'Irritability'), ('HP:0000737', 'Irritability')]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
30691927			restitution therapies	[]	treats	hp:0100785	insomnia		[]			recessive gm3 synthase deficiency	[('MONDO:0016019', 'GM3 synthase deficiency'), ('MONDO:0018274', 'GM3 synthase deficiency')]		chebi:28892		1
15474813	maxo:0001082	trabeculectomy		[]	treats	hp:0007906	elevated intraocular pressure (iop)		[]	mondo:0005338	primary open-angle glaucoma (poag)		[]				1
15474813	maxo:0000960	viscocanalostomy		[]	treats	hp:0007906	elevated intraocular pressure (iop)		[]	mondo:0005338	primary open-angle glaucoma (poag)		[]				1
15474813	maxo:0001082	trabeculectomy		[]	prevents	hp:0007906	elevated intraocular pressure (iop)		[]	mondo:0005338	primary open-angle glaucoma (poag)		[]				1
15474813	maxo:0000960	viscocanalostomy		[]	prevents	hp:0007906	elevated intraocular pressure (iop)		[]	mondo:0005338	primary open-angle glaucoma (poag)		[]				1
15474813	maxo:0001082	trabeculectomy		[]	leads to			postoperative hypotony	[]	mondo:0005338	primary open-angle glaucoma (poag)		[]				1
15474813	maxo:0001082	trabeculectomy		[]	leads to			cataract formation	[('HP:0000518', 'Cataract')]			primary open-angle glaucoma	[('MONDO:0005041', 'open-angle glaucoma'), ('MONDO:0005041', 'glaucoma')]				1
26060304	maxo:0000943	deep brain stimulation		[]	treats			severe movement disorder	[('HP:0012828', 'Movement disorder'), ('HP:0012828', 'Severe')]			progressive movement disorder	[('MONDO:0005395', 'movement disorder'), ('MONDO:0005395', 'movement disorder')]				1
26060304	maxo:0000943	deep brain stimulation		[]	treats	hp:0001252	hypotonia		[]			progressive movement disorder	[('MONDO:0005395', 'movement disorder'), ('MONDO:0005395', 'movement disorder')]				1
32337771			treatment	[]	treats	hp:0001272	cerebellar atrophy		[]			coq8a-ataxia	[('MONDO:0000437', 'ataxia'), ('MONDO:0100308', 'ataxia')]		chebi:46245		1
32337771			treatment	[]	treats	hp:0001332	dystonia		[]			coq8a-ataxia	[('MONDO:0000437', 'ataxia'), ('MONDO:0100308', 'ataxia')]		chebi:46245		1
32337771			treatment	[]	treats	hp:0001336	myoclonus		[]			coq8a-ataxia	[('MONDO:0000437', 'ataxia'), ('MONDO:0100308', 'ataxia')]		chebi:46245		1
25292408	maxo:0000603	peritoneal dialysis		[]	treats			autosomal dominant polycystic kidney disease (adpkd)	[('HP:0000006', 'Autosomal dominant'), ('HP:0000112', 'Kidney disease')]	mondo:0004691	autosomal dominant polycystic kidney disease (adpkd)		[]				1
25292408			transient transfer to hemodialysis	[('MAXO:0000602', 'hemodialysis')]	prevents			pd-technique failure	[]	mondo:0004691	autosomal dominant polycystic kidney disease (adpkd)		[]	transient	hemodialysis	pd-technique failure	1
25292408	maxo:0000004	surgery		[]	treats			abdominal wall leaks	[]	mondo:0004691	autosomal dominant polycystic kidney disease (adpkd)		[]				1
25292408			inclusion in the transplant waiting list	[]	treats			autosomal dominant polycystic kidney disease (adpkd)	[('HP:0000006', 'Autosomal dominant'), ('HP:0000112', 'Kidney disease')]	mondo:0004691	autosomal dominant polycystic kidney disease (adpkd)		[]				1
25405392			randomized trial	[]	treats			aortic-root enlargement	[]	mondo:0007947	marfan's syndrome		[]	comparing losartan with atenolol	losartan, atenolol		1
25405392			losartan	[]	treats	hp:0001659	aortic regurgitation		[]	mondo:0007947	marfan's syndrome		[]				1
12499475			screening for gdap1 mutations	[]	treats	hp:0011096	demyelination		[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]		gdap1 mutations		1
12499475			screening	[]	treats			axonopathy	[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]		gdap1 mutations		1
12499475			nerve conduction velocity tests	[]	treats	hp:0011096	demyelination		[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]				1
12499475			nerve conduction velocity (ncv) tests	[]	treats			axonopathy	[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]				1
12499475	maxo:0035087	peripheral nerve biopsy		[]	treats	hp:0011096	demyelination		[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]				1
12499475	maxo:0035087	peripheral nerve biopsy		[]	treats			axonopathy	[]	mondo:0015626	charcot-marie-tooth disease (cmt)		[]				1
31371124	maxo:0000950	supportive care		[]	treats			symptoms	[]			spinal muscular atrophy type 1	[('MONDO:0004323', 'spinal muscular atrophy'), ('MONDO:0001516', 'muscular atrophy')]				1
31371124			gene replacement therapy	[('MAXO:0001298', 'therapy')]	prevents			symptoms	[]			spinal muscular atrophy type 1	[('MONDO:0004323', 'spinal muscular atrophy'), ('MONDO:0001516', 'muscular atrophy')]	with onasemnogene abeparvovec	onasemnogene abeparvovec		1
31371124			treatment	[]	treats			transient asymptomatic transaminasemia	[('HP:0025153', 'Transient')]			spinal muscular atrophy type 1	[('MONDO:0004323', 'spinal muscular atrophy'), ('MONDO:0001516', 'muscular atrophy')]		chebi:8378		1
8319716			oral supplementation	[]	treats	hp:0001942	metabolic acidosis		[]	mondo:0009666	holocarboxylase synthetase deficiency		[]		chebi:15956		1
8319716			oral supplementation	[]	treats			lactic acidaemia	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]		chebi:15956		1
8319716			oral supplementation	[]	treats			hyperammonaemia	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]	10 mg/day	chebi:15956		1
8319716			oral supplementation	[]	treats			increased urinary excretion of 3-hydroxyisovaleric acid	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]	10 mg/day	chebi:15956		1
8319716			oral supplementation	[]	treats			increased urinary excretion of 3-methylcrotonylglycine	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]	10 mg/day	chebi:15956		1
8319716			oral supplementation	[]	treats			increased urinary excretion	[]			holocarboxylase synthetase deficiency	[('MONDO:0009666', 'holocarboxylase synthetase deficiency'), ('MONDO:0009666', 'holocarboxylase synthetase deficiency')]	10 mg/day	biotin	3-hydroxpropionic acid	1
8319716			oral supplementation	[]	treats			increased urinary excretion of methylcitric acid	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]	10 mg/day	chebi:15956		1
8319716			peritoneal dialysis combined with oral supplementation of biotin (10 mg/day)	[('MAXO:0000601', 'peritoneal dialysis'), ('MAXO:0000603', 'dialysis')]	treats	hp:0001942	metabolic acidosis		[]	mondo:0009666	holocarboxylase synthetase deficiency		[]		oral supplementation of biotin		1
8319716			peritoneal dialysis combined with oral supplementation of biotin (10 mg/day)	[('MAXO:0000601', 'peritoneal dialysis'), ('MAXO:0000603', 'dialysis')]	treats			lactic acidaemia	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]		oral supplementation of biotin		1
8319716			peritoneal dialysis combined with oral supplementation	[('MAXO:0000601', 'dialysis'), ('MAXO:0000603', 'peritoneal dialysis')]	treats			hyperammonaemia	[]	mondo:0009666	holocarboxylase synthetase deficiency		[]	10 mg/day	chebi:15956		1
